customer id,state,custome lifetime value,response,coverage,education,employment,gender,Income,Location Code,Marital Status,Monthly Premium Auto,Months Since Last Claim,Months Since Policy Inception,Number of Open Complaints,Number of Policies,Policy Type,Policy,Renew Offer Type,Sales Channel,Total Claim Amount,Vehicle Class,Vehicle Size,diff_days,new_feature,feature2
0,4,2763.519279,0,0,0,1,0,56274,1,1,69,32,5,0,1,0,2,0,0,384.811147,5,1,3112.7538793333,0.00122614,2168.19
1,0,6979.535903,0,1,0,4,0,0,1,2,94,13,42,0,8,1,5,2,0,1131.464935,0,1,3136.7538793333,9.40E+09,5.05E+02
2,2,12887.43165,0,2,0,1,0,48767,1,1,108,18,38,0,2,1,5,0,0,566.472247,5,1,3117.7538793333,0.00221461,2740.76
3,1,7645.861827,0,0,0,4,1,0,1,1,106,18,65,0,7,0,1,0,2,529.881344,3,1,3147.7538793333,1.06E+10,1.18E+03
4,4,2813.692575,0,0,0,1,1,43836,0,2,73,12,44,0,1,1,3,0,0,138.130879,0,1,3133.7538793333,0.0016653,3949.87
5,3,8256.2978,1,0,0,1,0,62902,0,1,69,14,94,0,2,1,5,1,3,159.383042,5,1,3142.7538793333,0.00109694,3646.31
6,3,5380.898636,1,0,1,1,0,55350,1,1,67,0,13,0,9,0,2,0,0,321.6,0,1,3112.7538793333,0.00121048,61.0444
7,0,7216.100311,0,2,4,4,1,0,2,2,101,0,68,0,4,0,2,0,0,363.02968,0,1,3149.7538793333,1.01E+10,1.63E+03
8,3,24127.50402,1,0,0,2,1,14072,1,0,71,13,3,0,2,0,2,0,0,511.2,0,1,3141.7538793333,0.00504548,312.4
9,3,7388.178085,0,1,1,1,0,28812,2,1,93,17,7,0,8,2,7,1,1,425.527834,0,1,3119.7538793333,0.00322782,225.809
10,1,4738.992022,0,0,1,4,1,0,1,2,67,23,5,0,3,1,5,0,0,482.4,0,2,3115.7538793333,6.70E+09,4.65E+02
11,1,8197.197078,0,0,1,4,0,0,1,1,110,27,87,0,3,1,5,1,0,528,3,1,3161.7538793333,1.10E+10,4.00E+03
12,1,8798.797003,0,2,4,1,1,77026,2,1,110,9,82,2,3,0,0,1,0,472.029737,0,1,3130.7538793333,0.00142809,3179.32
13,0,8819.018934,1,0,3,1,1,99845,1,1,110,23,25,1,8,0,2,1,1,528,3,1,3157.7538793333,0.00110171,594
